24 S 1354	
540052.8148	8568312.867
540040.7631	8568305.973
540028.3366	8568299.778
540015.5762	8568294.305
540002.5237	8568289.571
539989.2217	8568285.591
539975.7138	8568282.378
539962.0442	8568279.943
539948.2578	8568278.294
539939.4781	8568100.841
539936.5845	8568040.816
539936.5809	8568040.743
539930.059	8567913.311
539928.3112	8567867.387
539928.2939	8567867.01
539923.0879	8567769.662
539914.9948	8567608.057
539912.773	8567557.677
539912.7719	8567557.652
539909.1488	8567477.358
539904.7612	8567377.836
539904.7326	8567377.313
539904.6886	8567376.744
539899.377	8567317.051
539899.2638	8567316.025
539899.1875	8567315.49
539895.3909	8567290.859
539895.206	8567289.811
539894.842	8567288.25
539894.6352	8567287.523
539883.4465	8567250.387
539883.1879	8567249.579
539882.8144	8567248.555
539869.0548	8567213.265
539868.8635	8567212.789
539868.2019	8567211.329
539868.166	8567211.256
539846.5429	8567167.771
539846.0713	8567166.87
539818.2932	8567116.379
539818.215	8567116.238
539795.3737	8567075.359
539795.3508	8567075.318
539755.4283	8567004.19
539709.1539	8566921.475
539709.1009	8566921.381
539613.5366	8566752.315
539611.5071	8566748.3
539595.7887	8566717.204
539595.4685	8566716.592
539583.117	8566693.777
539568.6843	8566665.77
539559.898	8566638.2
539551.5835	8566600.511
539548.4272	8566560.828
539553.7834	8566398.027
539560.5641	8566204.967
539560.5658	8566204.916
539563.4331	8566118.207
539565.7079	8566050.441
539565.7104	8566050.363
539569.692	8565919.353
539572.3661	8565858.2
539572.3722	8565858.05
539574.5481	8565800.157
539576.7816	8565743.351
539579.8731	8565687.691
539585.8771	8565659.713
539600.6402	8565623.214
539609.0049	8565607.385
539630.8019	8565571.24
539639.575	8565556.923
539639.6014	8565556.88
539681.7232	8565487.824
539720.1481	8565424.94
539767.5482	8565347.934
539767.6078	8565347.837
539805.3267	8565285.915
539805.6104	8565285.437
539829.8299	8565243.567
539829.84	8565243.55
539830.5958	8565242.136
539830.8319	8565241.643
539853.7308	8565192.475
539854.1563	8565191.507
539854.4399	8565190.791
539871.4185	8565145.854
539871.6997	8565145.07
539871.836	8565144.656
539877.9006	8565125.69
539878.0961	8565125.048
539893.8991	8565070.523
539894.0327	8565070.044
539894.1283	8565069.676
539914.9058	8564987.017
539926.882	8564939.477
539935.1886	8564911.645
539935.3771	8564910.98
539935.4427	8564910.73
539948.2405	8564860.869
539959.4212	8564819.356
539959.4294	8564819.325
539959.4306	8564819.321
539967.5514	8564788.99
539967.7928	8564788.008
539981.1463	8564728.381
539981.2678	8564727.806
539981.5289	8564726.224
539981.6861	8564724.629
539981.7316	8564723.609
539981.7835	8564721.424
539982.6287	8564685.869
539982.8726	8564675.609
539982.827	8564673.424
539982.6699	8564671.829
539982.5911	8564671.279
539980.2034	8564655.855
539977.7867	8564640.244
539977.0179	8564635.278
539976.8355	8564634.246
539976.4715	8564632.685
539976.0061	8564631.15
539975.4413	8564629.65
539974.7797	8564628.19
539974.0239	8564626.776
539973.1773	8564625.414
539972.2435	8564624.111
539971.2264	8564622.872
539970.1304	8564621.702
539968.9603	8564620.606
539967.7531	8564619.615
539956.2495	8564604.571
539944.2062	8564589.955
539931.6391	8564575.788
539918.5648	8564562.087
539905.0006	8564548.871
539890.9646	8564536.157
539876.4752	8564523.962
539861.5517	8564512.303
539841.6562	8564476.206
539841.4172	8564475.782
539840.9928	8564475.075
539787.3274	8564388.957
539718.4293	8564272.745
539718.4094	8564272.712
539557.9763	8564003.084
539427.4288	8563783.635
539384.3726	8563711.106
539207.8487	8563413.077
539207.801	8563412.997
539036.0111	8563125.464
538881.5573	8562864.604
538881.5432	8562864.58
